Module,Module Theme (This will be broken into submodules and only submodules name would be there),Duration (months),Duration (Weeks),Core/ Elective/ Optional,Sub module name (Will reflect on learners dashboard),Why learn this,Topics Covered,For design team,,,
,,,,,Module 8: Quality & Judgment,"Speed without quality is not progress. This module teaches you to bring the same rigour to AI-assisted work that you would bring to any professional output. You will build structured evaluation frameworks, learn to catch the most common AI failures before they leave your desk, and set up the tools that make email and calendar management something you no longer have to think about.","● Quality Scorecards
• The eval mindset: define 'good output' before you ask for it
• The 5-dimension scorecard: Accuracy, Completeness, Tone, Actionability, Risk
• Adapting the scorecard to your specific use case
• Applying the scorecard to real outputs
• Case study: How a content team at Zoho reduced AI-generated errors by 60% with a simple 5-point scorecard

● Failure Detection
• The 5 most common AI failures in professional settings
• Tech bug vs AI quality issue: how to tell them apart
• The 7-checkpoint pre-flight checklist
• When to escalate vs when to retry
• Case study: A consulting firm that sent a client report with hallucinated market data — the recovery and prevention playbook

● Inbox & Schedule
• AI-native email clients: Superhuman AI, Shortwave, Notion Mail
• Email triage, drafting and follow-up automation
• AI calendars: Motion, Reclaim, Cal.com AI
• Auto-scheduling and time-blocking with AI
• Inbox-to-action workflows
• Privacy considerations for AI email
• Case study: How a VP at PhonePe reclaimed 8 hours/week with Motion + Superhuman AI",,,,
,,,,,Module 9: AI Writing & Storytelling,"AI can produce a first draft quickly, but the difference between a draft and a piece of writing that actually lands lies in editing, voice, and narrative judgment. This module teaches you to use AI for the parts of writing where it genuinely helps — structure, speed, variation — while keeping your voice and editorial instincts firmly in control. The result is writing that is both faster and better.","● Long-Form Writing
• Why AI writing still needs a human editor — and how to be a great one
• Writing reports, memos, articles, proposals with AI
• Editing workflows: rough draft → structural edit → line edit → polish
• Tone control across 10+ styles (executive, empathetic, persuasive, neutral, technical)
• Maintaining your voice while using AI (voice documents as input)
• The 'AI wrote it' tells and how to eliminate them
• Case study: How a VP of Strategy at Mahindra uses Claude to draft board memos — the workflow, the edits, the final product

● Data Storytelling
• The difference between data analysis and data storytelling
• The 'so what?' framework: turning numbers into narrative
• Chart selection: when to use which visualization and why
• Executive summary writing: the 3-sentence structure that works
• Synthesizing multiple data sources into a coherent story
• Avoiding the 'wall of charts' anti-pattern
• Case study: How a product analyst at Paytm turned a 40-page data dump into a 5-slide narrative that got their feature funded

● AI Copywriting
• Marketing copy: headlines, landing pages, ad creative, social content
• Email sequences: cold outreach, nurture, re-engagement
• Brand voice documents as AI input
• A/B variant generation at scale
• SEO content workflows: keyword research → outline → draft → optimize
• Legal and compliance review of AI-generated copy
• Case study: How a D2C brand generated 200 product descriptions in a day — the workflow, the quality control, the results",,,,
,,,,,Module 10: AI for Strategic Analysis,"Strategic analysis — competitive intelligence, market sizing, due diligence — has always been constrained by the time it takes to gather and synthesise information. AI removes that constraint. This module shows you how to build systems that monitor competitors in real time, produce investor-grade market analyses in hours, and surface risk signals in documents that would otherwise take a team days to read.","● Competitive Intelligence
• Building AI-powered competitive analysis systems
• Real-time competitor monitoring workflows
• Market signal detection: pricing changes, hiring patterns, product launches
• Win/loss analysis with AI: turning CRM data into strategic insights
• Crayon and Klue overview for automated CI
• Building a CI brief template that updates monthly
• Case study: How a SaaS company detected a competitor's pivot 6 weeks before public announcement using AI monitoring

● Market Sizing
• AI-assisted TAM/SAM/SOM modeling
• Top-down vs bottom-up sizing with AI research
• Scenario analysis: best case, base case, worst case with AI
• What-if modeling for business cases
• Using AI to stress-test assumptions and find blind spots
• Presenting market sizing to investors and boards
• Case study: How a startup founder used Claude + Deep Research to build a TAM analysis that impressed a Tier 1 VC

● Due Diligence
• AI-powered company research for M&A, partnerships, vendor evaluation
• Financial document analysis: reading balance sheets and P&L with AI
• Risk signal detection in public filings and news
• Synthesizing 20+ sources into a due diligence memo
• Building a due diligence template with AI
• Red flags AI can catch that humans often miss
• Case study: How a PE firm used AI to analyze 150 portfolio company reports in a weekend — what they found and what they missed",,,,
,,,,,Module 11: Advanced Data & Dashboards,"The ability to build your own dashboards and query your own data is one of the highest-leverage skills a non-technical professional can develop. This module makes it accessible. You will go from raw data to live dashboards, write SQL queries in plain English, and set up reports that generate and distribute themselves — without waiting on a data team.","● Dashboard Building
• Why leaders need to build dashboards, not just read them
• Power BI Copilot: natural language to dashboard
• Tableau AI: Ask Data and Tableau Pulse
• Hex: the AI-native analytics notebook
• Connecting data sources without code
• Dashboard design principles: what to show, what to hide, what to highlight
• Case study: How an ops lead at Zepto built a real-time delivery performance dashboard using Power BI Copilot in one afternoon

● SQL Without Code
• What SQL is and why it matters (2-minute mental model)
• Using AI to write SQL queries in plain English
• Text2SQL tools: how they work and where they fail
• Connecting to databases safely
• Querying company data without bothering the data team
• Common pitfalls: wrong joins, missing filters, data leaks
• Case study: How a PM at Myntra started querying product analytics directly instead of waiting 3 days for a data request

● Automated Reporting
• Setting up reports that generate themselves weekly
• AI-triggered alerts: 'notify me when this metric changes by more than X%'
• Scheduled data pulls from multiple sources
• Connecting dashboards to Slack/email for auto-distribution
• The 'never build a manual report again' workflow
• Case study: How a finance team at Razorpay automated their weekly revenue report — saved 5 hours/week permanently",,,,
,,,,,Module 12: AI for Decision Making,"The quality of your decisions is ultimately what determines your impact. This module teaches you to use AI not as an answer machine, but as a structured thinking partner — one that helps you stress-test assumptions, model scenarios, and produce the kind of clear, evidence-based analysis that earns trust in boardrooms and leadership meetings.","● Decision Frameworks
• Using AI as a structured decision partner, not just an answer machine
• Pre-mortem analysis: asking AI 'how could this fail?'
• Assumption testing: 'what am I assuming that might be wrong?'
• Red team my strategy: getting AI to argue against your plan
• The AI-assisted RAPID framework for complex decisions
• When to trust AI judgment vs when to override it
• Case study: How a CPO at a fintech used Claude to run a pre-mortem on a product launch and caught a critical regulatory risk

● Scenario Modeling
• Building what-if models with AI instead of spreadsheet formulas
• Financial scenarios: 'what happens if revenue drops 20%?'
• Headcount planning: 'what if we hire 5 vs 10 vs 15?'
• Monte Carlo intuition without math: understanding probability ranges
• Sensitivity analysis: which assumptions matter most?
• Case study: How a CFO at a Series C startup used AI scenario modeling to decide between two acquisition targets

● Board-Ready Analysis
• The 1-page decision memo format that works at every level
• Turning AI research into executive-grade analysis
• Synthesizing multiple data sources into a single recommendation
• Presenting uncertainty honestly: confidence levels, risk ranges, known unknowns
• The 'what I'd need to see to change my mind' section
• Case study: How a transformation lead at TCS presented an AI investment recommendation to their board — the structure, the pushback, the outcome",,,,
,,,,,Module 13: Building Real Tools,"The fastest way to get an idea approved is to show it, not describe it. This module teaches you to build working prototypes using AI-powered visual builders — no engineering background required. You will go from a concept to something a real user can click through, in a single session. For anyone who has ever had a good idea stall because it needed an engineer to build it, this module changes the dynamic entirely.","● Build Stack
• The Demo > Memo philosophy
• Visual builders: Lovable, Bolt, v0
• Coding agents: Cursor (agent mode), Claude Code, Replit Agent
• Same idea, 5 builders, side-by-side comparison
• When each tool wins
• Picking your personal stack
• Case study: How a PM at Notion prototyped a feature in Lovable and got it greenlit before writing a single spec

● Briefing AI
• The AI PRD format: Goal, Users, User Flows, UI Description, Success Criteria, Constraints
• Mapping user flows in plain English before touching any tool
• Common spec mistakes that confuse AI builders
• Peer review of specs
• Case study: How Google's PM interview now tests whether candidates can brief Cursor from a problem statement

● Visual Builders Lab
• Live 2-hour build session with Lovable, Bolt and v0
• Reading errors and describing them back to AI
• Iteration patterns that work
• Sharing your build with a real user
• Case study: How a non-technical founder built and launched an MVP on Product Hunt using only Lovable",,,,
,,,,,Module 14: Coding Agents,"Coding agents represent a qualitative shift in what non-technical professionals can build. By briefing an agent in plain English, you can produce internal tools, data pipelines, and custom applications that would previously have required months of engineering time. This module teaches you how to direct, monitor, and course-correct these agents so that you get to a working result reliably.","● Coding Agents Lab
• Why Claude Code and Cursor agent mode are the most powerful tools for non-coders today
• Briefing a coding agent in plain English
• Reading what an agent is doing without understanding the code
• Mid-build course correction
• The 5 vibe coding traps as live guardrails (building too much, not testing, changing too many things, not resetting, polishing before testing)
• When to stop
• Case study: How a product manager at Figma uses Cursor agent mode to prototype features before involving engineering

● Design & Branding
• Why AI defaults to generic design
• Brand brief as AI input: colors, fonts, tone, components
• Applying the brief to your prototype
• Figma to code flow basics
• Component libraries that look professional
• Case study: How a startup went from 'looks like an AI demo' to 'looks like a real product' with a 1-page brand brief

● Engineer Handoff
• Prototype vs production-ready: the real differences
• What engineers actually need in a handoff package
• Working link, user flows, success criteria, known limitations, MVP scope
• Role-playing the handoff conversation
• Building your personal handoff checklist
• Case study: How v0 prototypes get handed off to engineering teams at Vercel — the actual checklist they use",,,,
,,,,,Module 15: AI Product Design,"Most AI features fail not because the underlying model is poor, but because the design decisions around it are wrong — wrong placement, wrong level of autonomy, wrong handling of variability. This module gives you the frameworks to make those decisions well, audit existing AI products critically, and identify high-value opportunities that others have missed.","● 3P Framework
• Prioritization: is this the right problem?
• Placement: is it in the right place in the workflow?
• Prominence: is it at the right visibility?
• The 4 AI design patterns: Inputs, Instructions, Outputs, Feedback Loops
• Auditing real AI products
• Case study: Why Notion AI succeeded (right placement) while many AI writing tools failed (wrong prominence)

● Designing Uncertainty
• Non-deterministic UX: AI doesn't always give the same answer
• Designing interfaces that handle variability gracefully
• Human-in-the-loop patterns
• The 4 levels of AI autonomy
• When to use which level
• Case study: How Canva's Magic Write handles non-deterministic outputs — the UX patterns that make it feel reliable

● 4D Method
• Discover friction → Define problem → Design AI solution → Decide priority
• 5-question pain quantification framework
• Building an AI opportunity backlog for your org
• Prioritizing using effort vs impact
• Case study: How a Head of Product at Zerodha ran the 4D method and identified 3 AI opportunities worth ₹2Cr in annual savings",,,,
,,,,,Module 16: Multimodal AI,"Text generation is only one of eight distinct AI capabilities available today, and most professionals use just one or two. This module maps the full landscape — image generation, vision, voice, code, video, structured extraction — and connects each capability to practical use cases in your role. Teams that understand the full menu consistently find opportunities that single-capability users overlook.","● Capability Map
• Deep-dive demos of every major AI capability
• Text generation (LLMs)
• Image generation
• Vision (image analysis)
• Voice STT and TTS
• Code generation
• Structured data extraction
• Mapping each capability to your role
• Case study: How Swiggy's product team mapped AI capabilities to 15 product features — the matrix they used

● Image & Video
• Image generation comparison: Midjourney, DALL-E, Flux, Ideogram
• Video generation: Sora, Veo, Runway, Kling, Pika
• Avatars: HeyGen, Synthesia
• When each tool wins
• Brand-safe workflows for marketing teams
• Producing a complete asset
• Case study: How a marketing team at Mamaearth produces 50+ product creatives per week using Midjourney + Canva AI

● AI Presentations
• AI presentation tools comparison: Gamma, Tome, Beautiful.ai, Pitch
• ChatGPT and Claude slide generation workflows
• From outline → deck in minutes
• Brand-consistent slides with AI
• When AI presentations win vs traditional tools
• Common pitfalls and how to avoid them
• Case study: How a consultant at BCG uses Gamma to produce first-draft client decks in 30 minutes instead of 6 hours",,,,
,,,,,Module 17: AI Product Lifecycle,"AI projects fail at predictable points, and most of those failures are not technical — they are process failures. This module maps the full lifecycle of an AI initiative, from opportunity identification through to iteration, and shows you exactly where the decisions that matter most tend to sit. With a feasibility checklist and a clear build-versus-buy framework, you will be able to evaluate and govern AI projects with confidence.","● Lifecycle Map
• The end-to-end AI product journey
• Opportunity → Feasibility → Build → Launch → Feedback → Iterate
• PM/leader vs engineer decisions at each stage
• Key differences from traditional product development
• Where most AI projects fail
• Case study: How Spotify's AI DJ feature went from idea to 100M+ users — the lifecycle decisions at each stage

● Feasibility Checklist
• The 5 questions before greenlighting any AI project
• Do we have the data?
• Is it clean?
• What capability or model do we need?
• What does success look like specifically?
• What's the failure mode and how do we catch it?
• What's the realistic timeline?
• Case study: How a CTO killed a $300K AI chatbot project at feasibility and saved the company 6 months

● Build Vs Buy
• When to build a custom AI solution vs buy off-the-shelf
• Real trade-offs: cost, speed, customization, data privacy, vendor lock-in
• Model selection: proprietary (OpenAI, Anthropic, Google) vs open source (Llama, Mistral, DeepSeek)
• The fine-tuning trap: why most teams don't need it
• Evaluating AI vendors without technical expertise
• Case study: How a mid-size bank chose between building a custom fraud model vs buying a vendor solution — the decision framework",,,,
,,,,,Module 18: Leading Teams,"The arrival of capable AI tools changes what it means to lead a team. Engineers, product managers, and senior leaders all operate differently in this environment — and the leaders who adapt earliest tend to gain the most. This module helps you redefine your role, run AI-optimised sprint cycles, and communicate progress to stakeholders in a way that builds confidence rather than scepticism.","● Your New Role
• The new operating model: engineers as reviewers, PMs as builders, leaders as directors
• What the leader should be doing at each sprint stage
• Staying useful and respected when others execute with AI
• Avoiding obsolescence
• Case study: How a VP of Engineering at a YC startup restructured their entire team around the 'PM builds, engineer reviews' model

● AI Sprints
• Running standups, reviews and prioritization for AI projects
• 5 weekly check-in questions every AI lead should ask
• Decision frameworks for prioritizing AI features
• Managing the 'almost working' trap
• Sprint cadences for AI vs traditional product
• Case study: How Linear's own team runs AI sprints — the cadence, the review format, the kill criteria

● Stakeholder Communication
• Explaining AI in business language not tech jargon
• Managing expectations: what AI can do by when
• Presenting failures and course corrections confidently
• Role-play with skeptical stakeholders
• Case study: How Klarna's CEO communicated their AI transformation to investors — the framing, the metrics, the pushback",,,,
,,,,,Module 19: Quality & Risk,"Shipping AI without structured quality evaluation is, in practice, shipping blind. This module teaches you to move from informal assessment to systematic evaluation — through eval systems, adversarial testing, and a clear understanding of the regulatory and ethical risks involved. These are skills that separate organisations that deploy AI responsibly from those that learn expensive lessons in public.","● Eval Systems
• Moving from 'vibes' to structured quality
• LLM-as-judge concept in plain English
• Golden datasets: benchmarking against specific user intent
• Automated evaluation suites overview
• LangSmith, Phoenix, Braintrust as awareness tools
• Case study: How Anthropic internally evaluates Claude — simplified for non-engineers

● Red Teaming
• Adversarial testing: deliberately try to break your AI before users do
• The red team playbook: hallucinations, PII leaks, prompt injection, edge cases, offensive outputs
• Live red team session on a peer's prototype
• Documenting findings
• Case study: How Samsung's AI team red-teamed their customer service bot after the ChatGPT data leak scare

● AI Risk
• Bias, privacy, security, over-reliance
• Guardrails: what they are and how to specify them (no coding)
• When NOT to use AI
• AI policy frameworks: EU AI Act overview, India DPDP overview
• Building an AI deployment risk checklist
• Case study: How HDFC Bank's AI governance framework balances innovation with regulatory compliance",,,,
,,,,,Module 20: Agents In Practice,"Agents that can observe, plan, and act across digital environments are the most significant development in applied AI of the past two years. This module gives you hands-on experience with the leading platforms, a clear understanding of the agent loop, and the practical knowledge of where agents excel and where they still require human oversight. It also covers the economics of running agents at scale — something most teams underestimate.","● Computer Use
• Hour 1 (concept): the agent loop in plain English (observe, think, act, check, repeat)
• Why agents fail: loops, hallucination spirals, getting stuck
• State and termination
• Hour 2 (hands-on): Anthropic Computer Use deep dive
• OpenAI Operator hands-on
• Browser Use and Skyvern for browser-specific tasks
• When to use which
• Case study: How an e-commerce company automated competitor price monitoring with browser agents — the first version broke, here's why

● Agent Platforms
• The shift from 'if X then Y' automation to goal-based agents
• Lindy: AI employees deep dive
• Gumloop: visual AI workflows
• Relay.app: agent-native automation with human checkpoints
• Dust: AI assistants for teams
• When each platform wins
• Multi-step autonomous workflow design
• Case study: How a recruiting agency replaced 3 hours of daily candidate screening with a Lindy agent

● Cost & Token Economics
• How AI costs actually work: tokens, context, output length
• Per-model pricing comparison: frontier vs efficient models
• Prompt caching: cutting costs by 70-90%
• Batch APIs: cutting costs by 50%
• Reasoning model costs vs fast model costs
• Building an AI budget for a team or product
• ROI math: cost-per-task vs value-per-task
• Case study: How a startup cut their monthly AI bill from $12K to $3K without losing quality — the exact optimizations",,,,
,,,,,Module 21: Strategy Frameworks,"Good AI strategy is not about chasing the latest models or building the most sophisticated systems — it is about making disciplined decisions about where to invest and why. This module gives you repeatable frameworks for evaluating opportunities, building prioritised roadmaps, and constructing business cases that hold up to scrutiny from leadership, boards, and investors.","● GUCCI Framework
• Goal, Users, Concept, Constraints, Implementation
• A repeatable decision-making model for any AI initiative
• Walking through GUCCI on a live opportunity
• Common GUCCI mistakes
• Case study: How a Head of Product at PhonePe used GUCCI to evaluate 7 AI opportunities and picked the one that shipped

● AI Roadmap
• 4D method at org scale
• Effort vs impact matrix for AI initiatives
• Phased roadmap with milestones
• Communicating the roadmap to a board
• 1-page strategy format
• Case study: How Freshworks presented their AI roadmap to investors — the format, the metrics, the outcome

● Business Case
• Quantifying AI value: time saved, error reduction, revenue impact, CSAT
• Building cases under uncertainty
• Talking about AI costs (models, infrastructure, people) with confidence
• ROI templates
• Case study: How a retail chain justified a ₹2Cr AI investment with a business case that tracked savings weekly",,,,
,,,,,Module 22: Org Transformation,"Most AI rollouts fail — not because the technology does not work, but because culture, habits, and operating models do not change alongside it. This module addresses the human side of transformation: why adoption stalls, how to engineer the conditions for genuine behaviour change, and how to redesign team structures and workflows so that AI creates lasting value rather than a short-lived productivity spike.","● Why Rollouts Fail
• Tool licenses ≠ org transformation
• The 3 bottlenecks: culture, technical readiness, operating model redesign
• Tool adoption vs behavior change
• Change management model for AI
• Diagnosing stalled initiatives
• Case study: How Klarna replaced 700 support agents with AI — the real story behind the headline, the backlash, what they actually measured

● AI-First Culture
• Engineering 'first experiences' that convert skeptics
• Champion networks: top-down + grassroots energy
• Making AI use visible, social and contagious
• Designing a 30-day culture activation plan
• Case study: How Walmart's AI adoption went from 5% to 60% in 6 months — the champion network that made it happen

● Team Redesign
• Role evolution in the agent era
• Engineers as agent reviewers
• PMs as agent designers
• Leaders as agent directors
• Rethinking spec → design → build → ship when prototyping is nearly free
• Redesigning workflows from scratch
• Case study: How a 400-person IT services company redesigned their delivery model — roles that grew, roles that merged, roles that disappeared",,,,
,,,,,Module 23: Hard Leadership,"The ability to lead through transformation depends on more than strategy decks and frameworks. It depends on the conversations you are willing to have — with sceptical boards, anxious teams, and resistant senior leaders. This module gives you scripted, practised approaches for the hardest situations AI transformation creates, and a structured approach to sequencing change in a way that builds momentum rather than resistance.","● Hard Conversations
• Role-play 1: presenting AI strategy to a skeptical board
• Role-play 2: telling a high performer to adapt or be sidelined
• Role-play 3: responding to a team member who thinks AI is hype
• Scripts and frameworks for each
• Peer feedback
• Case study: Real anonymized transcripts of board-level AI discussions — what worked, what bombed

● Change Sequence
• What to invest in first, second, third
• How fast to move (risks of too slow AND too fast)
• Managing resistance at different org levels
• Burning platform vs inspiring vision
• Mapping the change sequence
• Case study: How Tata Digital sequenced their AI transformation — what they did first and why

● Measurement
• Real vs theatrical AI productivity metrics
• Leading vs lagging indicators
• Building a measurement dashboard
• Reporting AI impact to leadership without overpromising
• Case study: The company that reported '50% productivity gains' from AI — what the real number was and how they corrected course",,,,
,,,,,Module 24: Future-Proofing,"The AI landscape is moving fast enough that the decisions you make today about your roadmap, your team, and your product architecture will look very different in eighteen months. This module ensures you are thinking ahead — about products designed for AI agents as users, about the implications of reasoning models for your strategy, and about how to lead engineering teams building systems that did not exist two years ago.","● Designing For Agents
• The Internet of AI Agents concept
• Products designed for AI users not just humans
• Agentic UX patterns
• Impact on your product roadmap
• Case study: How Shopify redesigned their merchant dashboard for both human and AI-agent users

● Leading Agent Engineers
• Bridge class for non-technical leaders managing engineering teams that build agents
• What to ask in standup ('show me one trace where it failed today')
• How to read an agent trace without writing code
• Spotting over-engineering: the 'we need a multi-agent swarm' trap
• The architecture review questions every leader should ask
• How to push back on engineering estimates
• Case study: How a non-technical CPO reviews agent architecture proposals — the 5 questions they always ask

● Reasoning Models
• The shift from instinct models to reasoning models
• OpenAI o3 and o-series deep dive
• Claude with extended thinking
• DeepSeek R1 and open-source reasoning
• Gemini 2.5 Thinking
• When reasoning models win (math, planning, complex analysis) vs lose (speed, cost)
• The strategic implications for your AI roadmap
• Case study: How a quant finance team switched from GPT-4 to o3 for analysis and saw 40% better accuracy at 3x the cost — was it worth it?",,,,
,,,,,Module 25: Career Positioning,"AI fluency is rapidly becoming a prerequisite for senior roles, and the professionals who develop it early and communicate it well are positioning themselves for significant career advantages. This module helps you translate your learning into a compelling professional narrative, build a visible public presence, and develop the infrastructure literacy that earns credibility with both technical and non-technical stakeholders.","● Insider Vocabulary
• Turning your journey into a compelling professional narrative
• AI fluency vocabulary that signals real expertise
• Terms that signal surface knowledge (and what to say instead)
• Case studies from real AI PM interviews at MAANG, OpenAI, Anthropic
• LinkedIn profile framing
• Case study: How a mid-career PM at TCS repositioned as an 'AI Product Lead' and landed a 70% pay bump

● Personal Brand
• Becoming 'the AI person' at your company and publicly
• LinkedIn content strategy for AI professionals
• Internal demos as a brand-building tool
• Writing and community participation
• The 90-day plan to build authority
• Case study: How a marketing lead with zero tech background built a 50K LinkedIn following by sharing their AI learning journey

● Infrastructure Literacy
• Leader-level awareness of AI infrastructure
• Observability: what your AI is actually doing in production
• Guardrails: technical implementation in plain English
• Cost management: how AI usage scales and how to control it
• Security: the right questions to ask your engineering team
• Case study: How a non-technical CEO evaluates their CTO's AI infrastructure proposals — the checklist they use",,,,
,,,,,Module 26: AI for Go-To-Market,"The modern commercial function — sales, support, marketing — has been fundamentally changed by AI. Outbound pipelines that used to require large teams can now be run at scale by small ones. Support queues that consumed headcount can now be largely automated. Content that took weeks to produce can be generated in hours. This module gives you the tools, workflows, and judgment to build AI-powered go-to-market operations from the ground up.","● AI Sales Stack
• Clay: AI-powered prospect enrichment and outbound
• Apollo AI: prospecting, sequencing and conversation intelligence
• Salesforce Agentforce: AI agents inside your CRM
• HubSpot Breeze: AI across the HubSpot stack
• Outreach and Salesloft AI features
• The modern AI-powered sales workflow end-to-end
• Case study: How a B2B SaaS startup tripled their outbound pipeline using Clay + Apollo AI in 4 weeks

● AI Support Stack
• Decagon: AI customer support agents
• Sierra: AI agents for complex support workflows
• Intercom Fin: the leading AI support agent
• Ada: enterprise AI customer service
• When to deploy AI support vs keep humans in the loop
• Measuring AI support quality
• Case study: How Wealthsimple deployed Sierra and resolved 60% of support tickets without humans — the quality metrics that proved it worked

● AI Marketing Stack
• Modern AI content tools: Jasper, Writer, Copy.ai
• Personalization at scale: Mutiny, Optimizely with AI
• AI SEO tools: Surfer SEO, Clearscope, Frase
• AI ad creative: Pencil, AdCreative.ai
• AI brand consistency tools
• Building an AI-powered content engine
• Case study: How a performance marketing agency cut creative production costs by 70% using AI ad tools while improving CTR",,,,
,,,,,Module 27: AI for Operations,"Legal review, financial management, and human resources are three of the most process-intensive functions in any organisation — and three of the areas where AI is creating the most immediate and measurable impact. This module covers the leading specialised tools in each domain, with a practical focus on which workflows to automate, what to keep human, and how to evaluate quality when the stakes are high.","● AI Legal & Contracts
• Harvey: the leader in legal AI
• Spellbook: AI for contract drafting and review
• Ironclad: AI-native contract management
• Hebbia: AI for legal research and due diligence
• Reviewing contracts with general LLMs vs specialized tools
• When to trust AI legal output and when not to
• Case study: How a startup's legal team reviewed 200 vendor contracts in 3 days using Harvey — what it caught and what it missed

● AI Finance Stack
• Ramp AI: AI-powered expense and spend management
• Pilot: AI bookkeeping
• AI-powered FP&A copilots: Mosaic, Cube
• AI for invoice processing and reconciliation
• AI financial modeling assistants
• Cash flow forecasting with AI
• Case study: How Ramp AI saved a 300-person company $400K annually by flagging duplicate charges and negotiating vendor rates

● AI HR & Recruiting
• AI sourcing tools: Gem, hireEZ, LinkedIn Recruiter AI
• AI screening: Paradox, HireVue
• AI interview tools and bias considerations
• AI for onboarding and employee experience
• AI for performance reviews and feedback
• Privacy and fairness in AI HR
• Case study: How Unilever deployed AI screening for graduate hiring — the efficiency gains and the bias controversy",,,,
,,,,,Module 28: Frontier Topics,"Some of the most significant capability shifts in AI are happening at the frontier — in enterprise search, long-context processing, and private local models. This module gives you early exposure to each area, so you can evaluate their relevance to your organisation before they become standard practice. For leaders responsible for AI strategy, understanding what is coming is as important as mastering what is already here.","● Enterprise AI Search
• The enterprise search problem: information scattered across 50+ apps
• Glean: AI search across all your work apps
• Hebbia: AI for unstructured documents
• Perplexity Enterprise
• Microsoft Copilot for enterprise search
• Setting up enterprise AI search securely
• Case study: How Databricks deployed Glean and reduced 'where is that document?' interruptions by 80%

● Long-Context Workflows
• The 1M+ token context revolution
• Gemini 2.5 long-context capabilities
• Claude's long-context strengths
• Use cases: whole codebase analysis, whole book summarization, whole dataset Q&A
• Cost vs benefit of long context vs RAG
• When long context wins and when it doesn't
• Case study: How a legal firm loaded 500 pages of merger docs into Gemini and got answers that previously took paralegals 3 days

● Privacy & Local AI
• Why local AI matters for sensitive work
• Ollama: running LLMs on your laptop
• LM Studio: GUI for local models
• Open-source models: Llama, Mistral, DeepSeek, Qwen
• Apple Intelligence and on-device AI
• When local AI wins vs cloud AI
• Sovereign AI and data residency considerations
• Case study: How a government advisory firm processes classified documents using fully local AI — the setup, the trade-offs",,,,
,,,,,Module 29: Advanced Agents,"Single agents have real limits. When multiple specialised agents collaborate — in sequence, in parallel, with defined handoffs — entirely new categories of automation become possible. This module teaches you to design, monitor, and distribute multi-agent workflows, and to build custom AI assistants that your team or clients can use directly. It is the module where everything earlier in the course comes together.","● Multi-Agent Workflows
• How multiple AI agents work together in sequence and in parallel
• Manager-Worker pattern: one agent directing others
• Designing workflows: who does what, in what order, simultaneously
• Advanced Lindy and Gumloop chains with branching logic
• When multi-agent helps vs when it over-engineers
• Debugging multi-agent failures: which agent broke and why
• Case study: How a media company built a 3-agent content pipeline (research → write → edit) that produces 20 articles/day

● Agent Monitoring
• Watching what your agents actually do in real-time
• Reading agent logs and traces without code
• Catching failures: loops, hallucination chains, stuck states
• Setting up alerts: 'notify me when an agent fails or goes off-track'
• Knowing when to intervene vs when to let the agent retry
• Cost monitoring: tracking agent spend per task
• Case study: How a fintech startup's autonomous onboarding agent went rogue — what the logs showed and how they fixed it

● Custom GPTs & Assistants
• Building custom GPTs that others can use
• OpenAI Assistants: persistent AI tools for teams (no-code setup)
• Claude Projects as distributable team tools
• Configuring instructions, knowledge and tools for each assistant
• Distributing AI tools within your org
• Monetizing custom AI tools: AI-as-a-service for clients
• Case study: How a consultant built 5 custom GPTs for a client and charges a monthly retainer for maintaining them",,,,
,,,,,Module 30: AI Governance & Policy,"Every organisation using AI is, whether they know it or not, making governance decisions by default. This module helps you make those decisions deliberately — with a usage policy that balances adoption and risk, a vendor evaluation framework that protects you from overpromising, and an audit-readiness posture that satisfies regulators in even the most scrutinised industries.","● AI Policy Writing
• Why every org needs an AI usage policy now
• What a good AI policy covers: acceptable use, data handling, model selection, vendor requirements, approval workflows
• Real policy templates from companies that shipped them
• Getting buy-in for AI policy from leadership
• Avoiding the two extremes: too restrictive (kills adoption) vs too loose (creates risk)
• Case study: How JPMorgan's AI policy balances innovation with compliance — the real document structure

● Vendor Governance
• Evaluating AI vendor claims without technical expertise
• SLA frameworks for AI products: uptime, accuracy, latency, cost guarantees
• Data processing agreements: what to insist on
• The 10 questions to ask before signing any AI vendor contract
• Red flags that indicate a vendor is overselling
• Managing multi-vendor AI stacks
• Case study: How an enterprise bought an AI tool that promised 95% accuracy but delivered 60% — the contract gaps that allowed it

● Audit & Compliance
• AI audit readiness: what auditors look for
• Documentation requirements for AI systems
• Explainability for regulated industries (banking, healthcare, insurance)
• SOC2, ISO 27001 and GDPR implications for AI
• Building an AI governance dashboard for leadership
• The Chief AI Officer's quarterly report format
• Case study: How a healthcare company passed an AI audit for their diagnostic assistant — the documentation that made the difference",,,,
